paper_id,models,link,title,year
969,ITEMKNN;FPMC;SKNN;VSKNN;GRU4REC;NARM;STAMP;CSRM;EMDE;SRGNN;TAGNN;GCEGNN;SGNNHN;S2DHCN;CGL,https://scholar.archive.org/work/cnv6ylj4pjfaff63kffjvvpv5e/access/wayback/https://dl.acm.org/doi/pdf/10.1145/3490479,Collaborative Graph Learning for Session-based Recommendation,2022
970,TOPPOPULAR;TOPPERSONAL;NMF;PURESVD;IALS;SLIM;EASE;ITEMKNN,https://arxiv.org/pdf/2205.05393,CVTT: Cross-Validation Through Time,2022
971,BPR;NCF;RUM;GRU4REC;NARM;SASREC;DETAIN,https://scholar.archive.org/work/fx7iwgcdrfccrkf74pvesxhhte/access/wayback/https://dl.acm.org/doi/pdf/10.1145/3485447.3512101,Sequential Recommendation with Decomposed Item Feature Routing,2022
973,POP;BPRMF;FMC;FPMC;HRM;DREAM;CASER;SHAN;LSAMN;ACENET,http://www.global-optimization.com/boyuan/Mypaper/SPL-2021.pdf,Next-item Recommendation with Deep Adaptable Co-Embedding Neural Networks,2021
974,DSSM;DEEPCONN;YOUTUBE;ICAN;SASREC;COMIREC;COUPLE,https://arxiv.org/pdf/2112.03667,Cross-domain User Preference Learning for Cold-start Recommendation,2021
975,TOPPOP;PERSONALTOPPOP;SETS2SETS;DNNTSP;GLOIE;VAECF,https://arxiv.org/pdf/2109.02074,Global-Local Item Embedding for Temporal Set Prediction,2021
976,GTOPFREQ;PTOPFREQ;GPTOPFREQ;UPCFR;TIFUKNN;DREAM;BEACON;CLEA;SETS2SETS;DNNTSP,https://arxiv.org/pdf/2109.14233,A Next Basket Recommendation Reality Check,2021
977,POP;BSEQ;MCNET;SASREC;COSEREC;BEACON;BPCL,https://2022.ecmlpkdd.org/wp-content/uploads/2022/09/sub_843.pdf,Basket Booster for Prototype-based Contrastive Learning in Next Basket Recommendation,2022
978,ANAM;IIAAN;SETS2SETS;TIFUKNN;MIBS;GATTRANSBNR,https://iopscience.iop.org/article/10.1088/1742-6596/2303/1/012023/pdf,Next basket recommendation based on graph attention network and transformer,2022
979,POP;MC;MCN;BEACON;MIBS,https://iisi.siit.tu.ac.th/KSE2021/uploads_final/89__792a7e909844720c55b372c29051164d/2021222115.pdf,Modeling Multi-Intent Basket Sequences for Next-Basket Recommendation,2021
980,MFBPR;LIGHTGCN;SGL;DAM;BUNDLENET;BGCN;CROSSCBR,https://arxiv.org/pdf/2206.00242,CrossCBR: Cross-view Contrastive Learning for Bundle Recommendation,2022
981,GPTOPFREQ;RUPM;MONBR;UPCF;IPCF;MONBRCF,https://ieeexplore.ieee.org/iel7/6287639/9668973/09832906.pdf,An Efficient Approach for Rational Next-Basket Recommendation,2022
982,TOP;FPMC;DREAM;BEACON;SETS2SETS;UPCFR;TIFUKNN;CLEA,https://arxiv.org/pdf/2209.02892,A Systematical Evaluation for Next-Basket Recommendation Algorithms,2022
